order_id,customer_id,product_id,quantity,order_date,status
O001501,C00015,P0040,1,2026-09-03 01:30:07,Delivered
O001502,C00196,P0002,4,2026-09-04 03:30:07,Delivered
O001503,C00184,P0012,2,2026-09-03 20:30:07,Shipped
O001504,C00100,P0035,4,2026-09-03 20:30:07,Shipped
O001505,C00027,P0018,2,2026-09-04 06:30:07,Delivered
O001506,C00012,P0041,1,2026-09-04 05:30:07,Shipped
O001507,C00063,P0007,3,2026-09-04 02:30:07,Shipped
O001508,C00093,P0006,4,2026-09-04 07:30:07,Shipped
O001509,C00107,P0026,4,2026-09-04 05:30:07,Pending
O001510,C00212,P0005,1,2026-09-03 04:30:07,Pending
O001511,C00215,P0025,4,2026-09-03 15:30:07,Pending
O001512,C00093,P0020,2,2026-09-04 11:30:07,Delivered
O001513,C00291,P0041,1,2026-09-04 09:30:07,Shipped
O001514,C00178,P0031,1,2026-09-03 01:30:07,Pending
O001515,C00268,P0048,1,2026-09-03 19:30:07,Pending
O001516,C00016,P0035,5,2026-09-04 10:30:07,Delivered
O001517,C00079,P0014,1,2026-09-03 12:30:07,Pending
O001518,C00016,P0021,2,2026-09-04 03:30:07,Pending
O001519,C00065,P0018,4,2026-09-03 18:30:07,Pending
O001520,C00048,P0023,3,2026-09-03 00:30:07,Shipped
O001521,C00254,P0028,4,2026-09-03 03:30:07,Pending
O001522,C00129,P0012,3,2026-09-03 23:30:07,Shipped
O001523,C00053,P0038,2,2026-09-03 16:30:07,Pending
O001524,C00250,P0028,4,2026-09-03 07:30:07,Delivered
O001525,C00140,P0053,5,2026-09-03 15:30:07,Pending
O001526,C00197,P0028,5,2026-09-03 23:30:07,Shipped
O001527,C00192,P0058,4,2026-09-04 07:30:07,Pending
O001528,C00018,P0033,5,2026-09-03 19:30:07,Shipped
O001529,C00151,P0039,3,2026-09-03 02:30:07,Shipped
O001530,C00016,P0008,3,2026-09-04 00:30:07,Shipped
O001531,C00096,P0023,1,2026-09-03 20:30:07,Pending
O001532,C00191,P0024,3,2026-09-04 02:30:07,Pending
O001533,C00005,P0021,3,2026-09-04 11:30:07,Pending
O001534,C00239,P0037,2,2026-09-03 15:30:07,Delivered
O001535,C00034,P0025,5,2026-09-03 17:30:07,Pending
O001536,C00270,P0014,5,2026-09-04 05:30:07,Shipped
O001537,C00039,P0037,4,2026-09-03 09:30:07,Shipped
O001538,C00164,P0013,1,2026-09-03 23:30:07,Shipped
O001539,C00256,P0003,4,2026-09-03 18:30:07,Pending
O001540,C00064,P0029,5,2026-09-04 01:30:07,Shipped
O001541,C00197,P0016,1,2026-09-02 23:30:07,Shipped
O001542,C00010,P0042,1,2026-09-02 23:30:07,Shipped
O001543,C00146,P0009,1,2026-09-03 10:30:07,Delivered
O001544,C00271,P0003,1,2026-09-03 14:30:07,Pending
O001545,C00241,P0007,3,2026-09-03 09:30:07,Shipped
O001546,C00163,P0049,4,2026-09-03 13:30:07,Pending
O001547,C00285,P0050,4,2026-09-03 15:30:07,Delivered
O001548,C00025,P0026,4,2026-09-03 16:30:07,Shipped
O001549,C00063,P0054,5,2026-09-03 12:30:07,Pending
O001550,C00015,P0015,1,2026-09-04 08:30:07,Pending
O001551,C00054,P0021,2,2026-09-03 08:30:07,Pending
O001552,C00046,P0013,5,2026-09-03 12:30:07,Pending
O001553,C00027,P0017,1,2026-09-04 09:30:07,Pending
O001554,C00156,P0005,3,2026-09-03 19:30:07,Delivered
O001555,C00195,P0018,2,2026-09-04 01:30:07,Delivered
O001556,C00236,P0008,3,2026-09-04 03:30:07,Pending
O001557,C00300,P0057,4,2026-09-03 09:30:07,Delivered
O001558,C00063,P0034,2,2026-09-03 02:30:07,Delivered
O001559,C00245,P0043,3,2026-09-03 04:30:07,Shipped
O001560,C00248,P0015,3,2026-09-04 06:30:07,Shipped
O001561,C00043,P0023,2,2026-09-03 00:30:07,Delivered
O001562,C00106,P0045,1,2026-09-04 07:30:07,Shipped
O001563,C00031,P0014,2,2026-09-04 11:30:07,Shipped
O001564,C00198,P0013,1,2026-09-03 04:30:07,Shipped
O001565,C00107,P0053,5,2026-09-03 02:30:07,Shipped
O001566,C00160,P0046,2,2026-09-03 06:30:07,Delivered
O001567,C00055,P0059,2,2026-09-04 03:30:07,Shipped
O001568,C00198,P0029,2,2026-09-03 03:30:07,Shipped
O001569,C00097,P0005,4,2026-09-03 18:30:07,Pending
