order_id,customer_id,product_id,quantity,order_date,status
O000001,C00284,P0056,5,05/07/2026,Cancelled
O000002,C00058,P0019,3,01-Aug-2026,DELIVERED
O000003,C00260,P0059,5,11-Jul-2026,Shipped
O000004,C00079,P0024,5,2026-07-15,Cancelled
O000005,C00251,P0002,3,2026-07-12,Delivered
O000006,C00124,P0057,4,2026-08-09,Returned
O000007,C00065,P0009,2,16/08/2026,Returned
O000008,C00217,P0014,3,08/08/2026,Cancelled
O000009,C00225,P0058,2,2026-08-07,Cancelled
O000010,C00011,P0038,1,2026-08-09,Delivered
O000011,C00118,P0005,2,07/07/2026,Pending
O000012,C00110,P0035,5,13-Jul-2026,Pending
O000013,C00125,P0051,1,04-Aug-2026,cancelled
O000014,C00182,P0028,1,31-Jul-2026,delivered
O000015,C00032,P0026,2,25-Jul-2026,Pending
O000016,C00072,P0028,1,16/07/2026,Returned
O000017,C00051,P0004,1,2026-08-15,DELIVERED
O000018,C00209,P0032,1,2026-08-04,cancelled
O000019,C00002,P0025,5,21-Jul-2026,Pending
O000020,C00080,P0013,5,23-Jul-2026,Returned
O000021,C00032,P0048,4,24-Jul-2026,Returned
O000022,C00081,P0004,1,05-Aug-2026,delivered
O000023,C00121,P0026,5,2026-07-12,delivered
O000024,C00215,P0043,3,2026-08-11,Cancelled
O000025,C00123,P0017,3,29/07/2026,Cancelled
O000026,C00038,P0001,1,2026-08-03,Returned
O000027,C00110,P0033,1,2026-07-20,Cancelled
O000028,C00146,P0011,5,02-Aug-2026,Returned
O000029,C00005,P0043,1,2026-08-09,shipped
O000030,C00060,P0057,3,11/07/2026,Shipped
O000031,C00176,P0014,5,17/08/2026,shipped
O000032,C00027,P0006,1,2026-08-14,Cancelled
O000033,C00067,P0041,5,21-Jul-2026,cancelled
O000034,C00288,P0001,2,11-Jul-2026,Delivered
O000035,C00190,P0038,1,08/08/2026,Cancelled
O000036,C00021,P0058,1,27/07/2026,Returned
O000037,C00209,P0040,2,14/07/2026,Delivered
O000038,C00092,P0048,2,26/07/2026,DELIVERED
O000039,C00056,P0025,4,07/07/2026,shipped
O000040,C00117,P0015,3,06/07/2026,delivered
O000041,C00143,P0023,5,15/08/2026,Delivered
O000042,C00060,P0057,3,2026-07-21,delivered
O000043,C00223,P0023,5,2026-07-25,cancelled
O000044,C00296,P0013,1,20-Jul-2026,Returned
O000045,C00101,P0024,3,31-Jul-2026,Cancelled
O000046,C00064,P0047,4,24/07/2026,cancelled
O000047,C00152,P0036,4,13-Jul-2026,DELIVERED
O000048,C00292,P0020,3,30/07/2026,Shipped
O000049,C00221,P0051,4,11/08/2026,Pending
O000050,C00110,P0033,1,04/08/2026,Returned
O000051,C00172,P0006,2,2026-07-20,Delivered
O000052,C00024,P0016,1,04/08/2026,cancelled
O000053,C00295,P0013,4,2026-08-19,DELIVERED
O000054,C00003,P0058,5,11/07/2026,Delivered
O000055,C00286,P0016,4,12-Jul-2026,Returned
O000056,C00287,P0039,5,25/07/2026,Returned
O000057,C00229,P0058,4,15/07/2026,Shipped
O000058,C00142,P0050,3,07/08/2026,delivered
O000059,C00147,P0016,5,2026-07-22,DELIVERED
O000060,C00078,P0015,2,2026-07-29,cancelled
O000061,C00209,P0022,2,08/08/2026,cancelled
O000062,C00300,P0045,1,06/07/2026,shipped
O000063,C00200,P0055,5,31-Jul-2026,Shipped
O000064,C00250,P0015,4,22/07/2026,cancelled
O000065,C00085,P0054,5,2026-08-02,cancelled
O000066,C00289,P0043,2,05/07/2026,DELIVERED
O000067,C00026,P0017,3,29/07/2026,cancelled
O000068,C00143,P0049,4,2026-07-31,Returned
O000069,C00027,P0023,1,2026-07-19,Shipped
O000070,C00103,P0054,2,06/07/2026,delivered
O000071,C00289,P0014,3,2026-08-03,delivered
O000072,C00084,P0020,3,11-Jul-2026,cancelled
O000073,C00204,P0046,2,2026-07-16,shipped
O000074,C00062,P0051,4,09-Aug-2026,Cancelled
O000075,,P0033,4,15/08/2026,delivered
O000076,C00222,P0024,4,2026-08-14,Returned
O000077,C00139,P0040,5,08/08/2026,Cancelled
O000078,C00126,P0054,2,10/07/2026,cancelled
O000079,C00173,P0002,2,05/08/2026,shipped
O000080,C00175,P0018,5,2026-08-12,Returned
O000081,C00098,P0006,5,2026-07-20,Pending
O000082,C00252,P0029,4,05-Jul-2026,Shipped
O000083,C00157,P0043,5,11/08/2026,cancelled
O000084,C00282,P0022,3,27/07/2026,Shipped
O000085,C00062,P0047,5,17-Jul-2026,DELIVERED
O000086,C00099,P0014,5,04-Aug-2026,shipped
O000087,C00052,P0054,2,17/07/2026,Delivered
O000088,C00274,P0009,5,21/07/2026,DELIVERED
O000089,C00252,P0007,4,05/07/2026,Cancelled
O000090,C00095,P0004,1,21/07/2026,Pending
O000091,C00038,P0037,2,14-Aug-2026,shipped
O000092,C00044,P0016,5,12-Jul-2026,Shipped
O000093,C00268,P0025,5,02/08/2026,shipped
O000094,C00292,P0040,1,2026-07-08,Shipped
O000095,C00136,P0043,5,2026-07-10,DELIVERED
O000096,C00002,P0027,3,2026-08-02,Shipped
O000097,C00148,P0046,1,23-Jul-2026,Shipped
O000098,C00136,P0051,2,14/08/2026,delivered
O000099,C00279,P0015,2,2026-08-14,Delivered
O000100,C00085,P0051,5,24/07/2026,Pending
O000101,C00064,P0030,3,18-Aug-2026,Returned
O000102,C00253,P0029,4,10-Jul-2026,Cancelled
O000103,C00129,P0002,5,10-Jul-2026,Delivered
O000104,C00138,P0037,4,07/07/2026,DELIVERED
O000105,C00300,P0028,4,14/08/2026,cancelled
O000106,C00171,P0021,3,15/08/2026,Pending
O000107,C00148,P0043,1,30/07/2026,shipped
O000108,C00166,P0008,1,30-Jul-2026,Returned
O000109,C00237,P0027,5,08/07/2026,Pending
O000110,C00027,P0014,3,22/07/2026,Pending
O000111,C00063,P0002,2,14/08/2026,Returned
O000112,C00008,P0036,1,30/07/2026,delivered
O000113,C00079,P0032,3,19/08/2026,Pending
O000114,C00242,P0016,2,03-Aug-2026,Returned
O000115,C00070,P0056,4,09/07/2026,Returned
O000116,C00137,P0053,5,05-Jul-2026,Pending
O000117,C00077,P0029,5,08-Aug-2026,cancelled
