return_id,order_id,reason,return_date
R00001,O925712,Late delivery,2026-08-26
R00002,O000777,Defective,2026-08-09
R00003,O000107,Changed mind,2026-08-20
R00004,O001425,Wrong item,2026-08-08
R00005,O000875,Late delivery,2026-08-12
R00006,O000897,Defective,2026-08-23
R00007,O000754,Not as described,2026-08-06
R00008,O000895,Defective,2026-08-24
R00009,O000189,Late delivery,2026-08-31
R00010,O954141,Late delivery,2026-08-31
R00011,O001631,Defective,2026-08-14
R00012,O000512,Defective,2026-09-01
R00013,O000260,Changed mind,2026-08-31
R00014,O000090,Not as described,2026-08-03
R00015,O001342,Wrong item,2026-08-21
R00016,O000266,Late delivery,2026-08-30
R00017,O001347,Defective,2026-09-01
R00018,O000157,Not as described,2026-08-09
R00019,O000422,Changed mind,2026-08-19
R00020,O001654,Not as described,2026-08-31
R00021,O000452,Changed mind,2026-08-07
R00022,O000752,Late delivery,2026-08-25
R00023,O001339,Wrong item,2026-08-10
R00024,O000548,Not as described,2026-09-01
R00025,O001032,Defective,2026-08-08
R00026,O000842,Late delivery,2026-08-29
R00027,O000161,Wrong item,2026-08-05
R00028,O001067,Wrong item,2026-08-24
R00029,O001133,Wrong item,2026-08-22
R00030,O001485,Wrong item,2026-08-29
R00031,O930815,Changed mind,2026-08-16
R00032,O000930,Defective,2026-08-10
R00033,O904424,Not as described,2026-08-10
R00034,O000787,Not as described,2026-08-05
R00035,O000174,Defective,2026-08-10
R00036,O001249,Changed mind,2026-08-06
R00037,O000784,Changed mind,2026-08-03
R00038,O000460,Wrong item,2026-08-14
R00039,O001352,Changed mind,2026-08-24
R00040,O001353,Not as described,2026-09-01
R00041,O945587,Defective,2026-08-29
R00042,O001534,Not as described,2026-08-17
R00043,O000538,Late delivery,2026-08-14
R00044,O000057,Not as described,2026-08-19
R00045,O001273,Changed mind,2026-08-06
R00046,O001591,Defective,2026-08-17
R00047,O001134,Changed mind,2026-08-28
R00048,O001389,Not as described,2026-08-22
R00049,O001096,Changed mind,2026-08-23
R00050,O001473,Late delivery,2026-08-07
R00051,O000533,Wrong item,2026-08-05
R00052,O000958,Wrong item,2026-08-28
R00053,O000032,Not as described,2026-08-11
R00054,O000562,Defective,2026-08-12
R00055,O001568,Late delivery,2026-08-31
R00056,O001170,Changed mind,2026-08-05
R00057,O935949,Not as described,2026-08-08
R00058,O000514,Late delivery,2026-08-14
R00059,O940225,Late delivery,2026-08-24
R00060,O000542,Wrong item,2026-08-19
R00061,O000036,Changed mind,2026-08-29
R00062,O904850,Not as described,2026-08-05
R00063,O001140,Wrong item,2026-08-20
R00064,O001187,Defective,2026-08-21
R00065,O001250,Late delivery,2026-08-17
R00066,O000132,Changed mind,2026-08-03
R00067,O001557,Not as described,2026-08-31
R00068,O001014,Wrong item,2026-08-07
R00069,O000358,Wrong item,2026-08-29
R00070,O001344,Defective,2026-08-07
R00071,O001341,Defective,2026-08-06
R00072,O001038,Changed mind,2026-08-09
